gene_id,CK_1,CK_2,TR_1,TR_2,CKK_1,CKK_2,TRR_1,TRR_2
Os01g0117600,131,166,264,302,245,319,244,81
Os01g0117650,0,0,4,0,0,18,2,0
Os01g0117700,7,41,26,25,6,23,23,9
Os01g0117900,2046,2154,1931,699,4064,2713,1293,2727
Os01g0118000,712,1335,1351,1972,1121,1397,755,713
Os01g0118033,2,6,3,9,7,5,2,0
Os01g0118066,117,116,239,335,80,129,32,10
Os01g0118100,3004,2857,3740,4294,1192,1723,1606,1245
Os01g0118300,0,0,0,0,65,85,11,0
Os01g0118350,0,0,0,0,0,3,0,0
Os01g0118400,1100,734,585,238,3991,4123,2025,746
Os01g0118600,68,64,10,1,118,60,50,33
Os01g0118700,1125,923,1322,1293,2713,2506,1315,1350
Os01g0119000,23,63,20,8,52,35,133,102
Os01g0119050,12,9,5,7,41,24,18,102
Os01g0119100,556,240,333,86,1589,1175,498,962
Os01g0119500,1168,1745,1657,2099,3313,3628,2351,1265
Os01g0119800,7,0,0,0,3,13,4,4
Os01g0120300,2118,2750,5156,4858,3811,3491,2809,1972
Os01g0120400,582,702,617,575,173,250,321,357
Os01g0120500,14327,13190,14172,13360,3050,3430,5373,5478
Os01g0120600,529,555,1088,1264,673,842,460,424
Os01g0120700,1843,2077,2803,2654,4583,4702,2688,2545
Os01g0120800,2676,3036,4558,6613,8848,9928,4162,3762
Os01g0121000,0,7,4,12,25,48,35,39
Os01g0121100,3178,3720,3704,3960,7235,7112,3211,3595
Os01g0121200,9,9,0,23,30,18,20,55
Os01g0121300,452,389,458,536,1202,1045,1144,1028
Os01g0121400,0,0,2,13,11,15,8,7
Os01g0121500,82,122,63,70,108,118,46,31
Os01g0121600,291,620,305,280,126,175,228,229
Os01g0121700,4035,4295,3438,4427,5015,4689,3408,2602
Os01g0121800,715,848,840,1068,669,764,566,512
Os01g0121900,15,0,0,4,0,0,3,0
Os01g0121950,23,7,0,0,0,0,0,0
Os01g0122000,465,518,26,38,17,11,104,448
Os01g0122200,0,0,0,0,0,0,4,0
Os01g0122367,0,0,0,0,3,0,4,0
Os01g0122534,0,0,0,0,0,0,0,0
Os01g0122701,0,0,0,0,0,0,0,0
Os01g0123500,0,0,0,0,0,0,0,0
Os01g0123700,64,27,0,0,50,29,276,349
Os01g0123800,11,3,0,0,8,14,108,44
Os01g0123900,11400,5832,406,656,2140,3460,21772,41977
Os01g0124000,1656,371,61,747,650,1476,2606,4290
Os01g0124100,140,262,548,2742,10840,12523,522,1503
Os01g0124200,640,682,3234,11066,38376,68392,11025,23990
Os01g0124401,7,14,23,169,9347,32751,319,1242
Os01g0124550,0,0,0,0,0,0,0,0
Os01g0124600,0,0,0,7,0,1,0,2
Os01g0124650,373,514,100,3352,3006,7673,580,887
Os01g0124700,0,0,0,454,383,967,91,109
Os01g0124900,0,0,0,0,0,0,0,0
Os01g0125000,0,0,0,0,0,0,0,0
Os01g0125500,0,0,0,0,0,2,0,0
Os01g0125550,21,47,33,9,43,36,56,19
Os01g0125600,15,16,34,38,105,148,30,35
Os01g0125700,174,96,230,267,289,369,137,130
Os01g0125800,1026,1475,1558,2421,1309,1346,273,349
Os01g0125850,2,26,8,17,12,7,0,6
Os01g0125900,2698,3322,3716,4499,3775,3435,1486,1144
Os01g0126000,8,17,0,4,0,0,6,5
Os01g0126100,23,11,26,92,150,133,28,37
Os01g0126200,11701,12338,9649,10503,2941,3284,3236,2029
Os01g0126401,577,579,315,407,141,65,165,86
Os01g0126600,381,355,139,273,67,91,172,117
Os01g0126900,0,0,0,0,0,0,0,0
Os01g0127000,0,0,0,0,0,0,0,0
Os01g0127100,0,0,0,0,0,0,0,0
Os01g0127200,0,0,0,0,0,0,0,0
Os01g0127300,2537,2862,5864,7520,3781,4105,4863,3567
Os01g0127400,258,215,1045,1337,778,787,577,419
Os01g0127450,26,61,64,139,37,31,57,36
Os01g0127500,0,0,0,0,0,0,0,0
Os01g0127600,0,0,0,0,13,0,12,35
Os01g0127700,148,418,328,499,1378,1665,475,247
Os01g0127900,111,126,533,531,775,1004,586,501
Os01g0128000,60,88,60,362,52,70,8,0
Os01g0128100,32,46,5,44,186,341,212,160
